iter	Passed	Remaining
0	1	162
1	2	146
2	4	140
3	5	125
4	6	126
5	7	124
6	9	120
7	10	118
8	11	119
9	13	123
10	15	125
11	17	125
12	18	121
13	19	118
14	20	114
15	21	112
16	22	110
17	24	109
18	25	107
19	26	106
20	29	111
21	31	111
22	32	109
23	34	107
24	35	106
25	36	105
26	38	103
27	39	101
28	40	100
29	42	98
30	44	98
31	45	97
32	47	95
33	48	93
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	80
42	59	79
43	61	78
44	62	76
45	64	75
46	65	74
47	66	72
48	68	71
49	69	69
50	71	68
51	72	66
52	73	65
53	74	63
54	75	61
55	77	60
56	78	58
57	78	57
58	79	55
59	81	54
60	82	52
61	84	51
62	85	50
63	86	48
64	88	47
65	89	46
66	90	44
67	91	43
68	93	41
69	93	40
70	94	38
71	96	37
72	97	35
73	98	34
74	99	33
75	101	31
76	103	30
77	104	29
78	105	28
79	106	26
80	107	25
81	109	23
82	110	22
83	111	21
84	112	19
85	114	18
86	115	17
87	115	15
88	117	14
89	119	13
90	120	11
91	121	10
92	122	9
93	123	7
94	124	6
95	125	5
96	127	3
97	128	2
98	130	1
99	131	0
