iter	Passed	Remaining
0	156	156214
1	158	79323
2	161	53685
3	163	40819
4	166	33166
5	168	27919
6	170	24147
7	172	21439
8	175	19280
9	176	17451
10	177	16000
11	179	14788
12	181	13774
13	182	12870
14	184	12122
15	186	11477
16	188	10888
17	189	10343
18	191	9869
19	192	9429
20	194	9053
21	195	8695
22	197	8369
23	198	8068
24	200	7818
25	202	7569
26	203	7336
27	204	7109
28	206	6911
29	207	6715
30	209	6534
31	210	6367
32	212	6212
33	213	6070
34	215	5929
35	216	5793
36	217	5673
37	219	5554
38	221	5445
39	222	5338
40	223	5230
41	224	5123
42	225	5023
43	226	4920
44	227	4828
45	229	4769
46	231	4696
47	232	4614
48	234	4548
49	235	4470
50	236	4406
51	238	4344
52	239	4274
53	240	4207
54	241	4143
55	243	4103
56	245	4060
57	247	4017
58	248	3970
59	250	3920
60	252	3879
61	253	3829
62	254	3779
63	255	3737
64	257	3698
65	259	3668
66	260	3627
67	262	3597
68	264	3572
69	266	3536
70	267	3504
71	269	3468
72	270	3438
73	271	3402
74	275	3395
75	277	3369
76	278	3335
77	279	3303
78	280	3266
79	281	3238
80	282	3205
81	283	3178
82	284	3140
83	285	3113
84	287	3095
85	289	3076
86	291	3057
87	293	3037
88	294	3011
89	295	2989
90	296	2965
91	298	2942
92	299	2920
93	301	2901
94	303	2890
95	304	2869
96	306	2851
97	307	2832
98	308	2810
99	309	2789
100	310	2766
101	312	2749
102	313	2729
103	315	2714
104	316	2698
105	319	2690
106	320	2677
107	322	2663
108	323	2646
109	325	2631
110	326	2613
111	327	2593
112	328	2574
113	329	2560
114	331	2547
115	333	2539
116	334	2521
117	336	2511
118	336	2494
119	337	2478
120	339	2463
121	340	2449
122	341	2431
123	342	2420
124	344	2408
125	345	2397
126	347	2386
127	349	2377
128	349	2363
129	351	2352
130	352	2338
131	353	2323
132	354	2313
133	356	2302
134	356	2287
135	358	2277
136	359	2267
137	361	2259
138	364	2260
139	366	2251
140	367	2240
141	368	2228
142	370	2219
143	371	2207
144	372	2196
145	373	2183
